---
TYPE: stable_matching
MEN: m1, m2, m3, m4, m5, m6, m7, m8, m9, m10, m11, m12, m13, m14, m15, m16, m17, m18, m19, m20, m21, m22, m23, m24, m25, m26, m27, m28, m29, m30, m31, m32, m33, m34, m35, m36, m37, m38, m39, m40, m41, m42, m43, m44, m45, m46, m47, m48, m49, m50, m51, m52, m53, m54, m55, m56, m57, m58, m59, m60, m61, m62, m63, m64, m65, m66, m67, m68, m69, m70, m71, m72, m73, m74, m75, m76, m77, m78, m79, m80, m81, m82, m83, m84, m85, m86, m87, m88, m89, m90, m91, m92, m93, m94, m95, m96, m97, m98, m99, m100
m44: w8, w62, w5, w78, w83, w26, w50, w59, w4, w7, w10, w70, w30, w15, w99, w35, w21, w80, w95, w69, w94, w27, w29, w19, w38, w6, w85, w42, w97, w82, w16, w44, w87, w57, w73, w36, w56, w93, w52, w22, w100, w14, w51, w64, w39, w46, w72, w74, w90, w37, w49, w3, w86, w98, w23, w79, w53, w58, w55, w40, w41, w91, w76, w68, w89, w60, w17, w45, w66, w63, w9, w75, w25, w28, w11, w47, w43, w77, w33, w1, w34, w31, w20, w2, w92, w13, w61, w18, w65, w12, w67, w24, w84, w96, w81, w32, w54, w88, w48, w71
m45: w67, w20, w10, w22, w19, w75, w46, w24, w26, w84, w72, w99, w54, w92, w43, w52, w27, w87, w89, w39, w45, w97, w25, w55, w18, w9, w28, w95, w69, w65, w81, w66, w50, w82, w56, w51, w7, w98, w23, w13, w14, w44, w100, w33, w62, w76, w94, w63, w47, w3, w11, w37, w21, w91, w59, w85, w38, w53, w36, w93, w48, w96, w70, w17, w2, w78, w88, w49, w29, w34, w61, w74, w83, w6, w58, w35, w1, w73, w16, w41, w32, w15, w30, w90, w86, w5, w4, w68, w71, w40, w42, w79, w57, w60, w8, w77, w80, w31, w12, w64
m46: w27, w63, w90, w73, w43, w42, w83, w34, w45, w68, w88, w31, w62, w47, w32, w10, w79, w77, w99, w30, w91, w82, w2, w55, w29, w39, w9, w5, w92, w70, w49, w4, w44, w35, w95, w51, w53, w6, w12, w7, w25, w72, w40, w41, w46, w96, w71, w18, w36, w67, w89, w85, w37, w24, w52, w20, w59, w94, w84, w50, w81, w61, w57, w66, w17, w14, w74, w21, w93, w58, w1, w19, w26, w28, w38, w48, w97, w22, w80, w86, w98, w76, w8, w15, w23, w69, w56, w16, w33, w100, w13, w11, w78, w64, w3, w60, w87, w65, w54, w75
m47: w56, w82, w47, w31, w66, w29, w93, w91, w76, w4, w32, w48, w18, w54, w64, w78, w25, w59, w53, w36, w71, w85, w81, w27, w61, w42, w12, w37, w39, w14, w7, w97, w51, w19, w26, w94, w80, w41, w65, w33, w96, w15, w8, w77, w88, w69, w86, w92, w5, w73, w57, w58, w24, w13, w28, w43, w100, w62, w50, w30, w22, w83, w74, w60, w44, w45, w89, w52, w79, w21, w75, w23, w16, w70, w9, w35, w72, w38, w34, w55, w17, w68, w95, w46, w3, w84, w98, w99, w6, w90, w2, w10, w49, w87, w20, w1, w11, w40, w67, w63
m48: w25, w76, w33, w28, w62, w90, w37, w47, w45, w77, w48, w66, w43, w85, w83, w69, w68, w54, w10, w2, w84, w21, w55, w27, w34, w56, w35, w94, w24, w15, w53, w41, w89, w99, w70, w64, w49, w22, w93, w17, w42, w32, w52, w40, w65, w67, w80, w11, w46, w9, w50, w44, w96, w92, w72, w38, w63, w87, w29, w4, w100, w74, w97, w98, w95, w82, w79, w23, w30, w91, w59, w31, w8, w81, w75, w12, w36, w73, w19, w51, w88, w20, w3, w86, w60, w14, w78, w1, w71, w39, w26, w13, w58, w5, w57, w18, w7, w16, w61, w6
m49: w93, w18, w14, w10, w100, w1, w47, w28, w79, w80, w20, w41, w72, w2, w95, w86, w16, w84, w44, w3, w32, w26, w33, w64, w4, w23, w31, w5, w90, w21, w50, w22, w89, w87, w37, w52, w66, w29, w6, w76, w69, w94, w48, w54, w88, w51, w25, w11, w45, w73, w39, w70, w75, w61, w34, w7, w46, w91, w27, w56, w58, w82, w17, w12, w13, w43, w98, w36, w81, w19, w65, w42, w57, w63, w8, w92, w68, w38, w62, w77, w9, w55, w97, w74, w96, w67, w78, w59, w49, w83, w99, w85, w30, w71, w40, w15, w35, w24, w60, w53
m50: w73, w78, w86, w67, w71, w13, w1, w60, w88, w52, w5, w49, w80, w34, w47, w31, w65, w2, w58, w9, w61, w70, w79, w38, w14, w16, w95, w7, w11, w39, w55, w77, w66, w17, w20, w84, w76, w81, w92, w28, w69, w37, w62, w45, w87, w27, w21, w82, w93, w56, w23, w42, w33, w12, w4, w90, w68, w64, w24, w10, w22, w98, w19, w48, w83, w6, w94, w89, w91, w41, w59, w30, w75, w50, w57, w46, w100, w35, w96, w29, w32, w36, w63, w85, w51, w54, w44, w43, w97, w8, w3, w74, w15, w99, w40, w18, w72, w26, w53, w25
m51: w37, w84, w51, w75, w98, w83, w21, w81, w8, w85, w53, w14, w54, w86, w31, w7, w70, w30, w22, w62, w33, w94, w100, w57, w55, w73, w41, w26, w11, w45, w66, w23, w44, w71, w28, w64, w15, w38, w13, w87, w5, w56, w92, w97, w68, w52, w99, w49, w72, w9, w48, w29, w89, w50, w47, w18, w67, w25, w34, w36, w35, w58, w39, w78, w16, w88, w59, w27, w6, w1, w60, w76, w46, w61, w24, w32, w42, w43, w4, w17, w20, w80, w79, w63, w96, w3, w12, w2, w74, w95, w90, w77, w69, w65, w19, w93, w40, w91, w10, w82
m52: w48, w1, w35, w81, w58, w18, w83, w15, w70, w75, w60, w25, w96, w22, w71, w8, w21, w50, w52, w89, w5, w4, w14, w41, w82, w6, w85, w9, w49, w13, w93, w44, w27, w69, w91, w90, w31, w73, w23, w76, w100, w24, w40, w36, w46, w95, w19, w16, w39, w65, w86, w66, w80, w87, w62, w98, w11, w32, w77, w61, w51, w26, w42, w97, w94, w79, w45, w84, w64, w54, w63, w53, w92, w3, w37, w34, w10, w28, w33, w68, w74, w17, w47, w2, w57, w12, w67, w78, w72, w20, w38, w99, w30, w43, w55, w88, w56, w29, w59, w7
m53: w17, w45, w92, w69, w22, w83, w41, w75, w21, w42, w27, w99, w91, w53, w1, w70, w35, w89, w77, w48, w61, w65, w18, w71, w32, w36, w40, w39, w63, w90, w7, w88, w73, w96, w95, w85, w4, w60, w2, w59, w19, w50, w47, w98, w34, w97, w72, w13, w49, w66, w6, w79, w58, w24, w56, w81, w14, w10, w100, w29, w8, w74, w16, w80, w20, w9, w64, w62, w94, w43, w87, w23, w44, w12, w5, w38, w78, w52, w15, w30, w86, w25, w84, w57, w46, w33, w51, w68, w93, w76, w3, w67, w37, w55, w54, w26, w82, w31, w11, w28
m54: w62, w55, w18, w96, w16, w97, w39, w84, w69, w11, w100, w30, w59, w73, w19, w9, w88, w2, w36, w83, w71, w82, w48, w17, w7, w44, w52, w23, w61, w81, w24, w93, w35, w41, w15, w47, w85, w6, w38, w14, w72, w64, w76, w20, w86, w98, w45, w99, w49, w57, w89, w78, w58, w90, w66, w21, w28, w29, w43, w27, w79, w60, w95, w50, w70, w12, w46, w77, w3, w32, w5, w4, w54, w34, w37, w8, w67, w80, w92, w68, w22, w75, w91, w65, w51, w87, w13, w56, w40, w94, w42, w1, w33, w10, w74, w31, w26, w53, w25, w63
m55: w23, w71, w26, w90, w94, w78, w64, w43, w27, w37, w49, w95, w36, w89, w40, w10, w97, w5, w8, w85, w79, w3, w77, w67, w54, w46, w82, w48, w83, w12, w96, w9, w69, w11, w84, w51, w76, w55, w80, w70, w29, w50, w74, w34, w39, w65, w13, w59, w17, w47, w32, w92, w14, w58, w24, w61, w7, w6, w33, w93, w75, w100, w2, w72, w91, w56, w63, w41, w18, w68, w44, w42, w57, w81, w20, w60, w38, w1, w25, w22, w21, w35, w4, w87, w98, w19, w62, w15, w45, w16, w28, w66, w31, w53, w52, w73, w99, w30, w88, w86
m56: w69, w46, w81, w57, w37, w75, w45, w22, w38, w39, w48, w21, w16, w20, w73, w90, w60, w3, w82, w11, w89, w12, w85, w35, w43, w49, w52, w29, w96, w31, w87, w64, w65, w30, w84, w72, w41, w71, w14, w10, w27, w15, w33, w26, w86, w6, w4, w7, w8, w40, w83, w5, w54, w91, w32, w63, w23, w50, w93, w18, w88, w34, w97, w98, w19, w80, w9, w76, w44, w1, w42, w62, w58, w59, w99, w100, w77, w92, w70, w24, w47, w61, w94, w68, w17, w36, w67, w2, w25, w28, w95, w78, w53, w55, w66, w13, w51, w79, w74, w56
m57: w90, w96, w53, w25, w80, w74, w57, w88, w13, w11, w50, w56, w84, w73, w17, w62, w67, w69, w29, w1, w89, w27, w60, w26, w75, w87, w46, w12, w77, w24, w20, w39, w78, w36, w54, w16, w85, w97, w5, w7, w61, w45, w99, w4, w49, w65, w58, w48, w23, w37, w51, w31, w2, w40, w41, w44, w14, w33, w34, w86, w93, w15, w21, w79, w22, w81, w42, w19, w68, w83, w38, w43, w6, w76, w55, w32, w59, w72, w30, w95, w47, w35, w94, w63, w18, w64, w91, w92, w28, w66, w70, w9, w98, w71, w100, w52, w10, w3, w8, w82
m58: w68, w94, w86, w75, w19, w51, w6, w23, w63, w84, w88, w42, w49, w38, w37, w70, w50, w3, w83, w96, w80, w72, w60, w14, w52, w36, w87, w16, w54, w55, w76, w33, w45, w64, w4, w79, w81, w46, w48, w27, w12, w73, w13, w57, w30, w39, w20, w25, w89, w97, w15, w99, w7, w74, w53, w65, w92, w59, w21, w62, w95, w2, w44, w18, w8, w22, w5, w26, w10, w100, w56, w61, w82, w66, w35, w78, w71, w90, w98, w34, w67, w32, w93, w85, w47, w29, w28, w40, w41, w9, w31, w17, w77, w43, w91, w69, w1, w11, w58, w24
m59: w66, w45, w42, w53, w11, w41, w18, w21, w6, w49, w75, w76, w72, w16, w51, w67, w60, w14, w36, w81, w63, w5, w56, w58, w59, w24, w23, w86, w8, w28, w74, w17, w1, w34, w37, w94, w91, w61, w85, w64, w27, w100, w33, w38, w54, w62, w89, w88, w98, w2, w50, w12, w19, w92, w32, w93, w71, w3, w40, w97, w9, w82, w90, w39, w52, w83, w57, w35, w77, w48, w78, w96, w13, w47, w20, w22, w15, w79, w43, w68, w95, w4, w30, w70, w26, w7, w10, w80, w55, w73, w46, w25, w31, w44, w84, w29, w69, w65, w99, w87
m60: w17, w81, w27, w88, w89, w18, w97, w75, w43, w32, w6, w3, w84, w13, w63, w91, w93, w23, w34, w51, w98, w12, w79, w15, w68, w76, w50, w7, w54, w30, w22, w96, w35, w60, w41, w25, w37, w53, w24, w38, w65, w85, w73, w87, w9, w16, w90, w78, w66, w64, w20, w74, w36, w40, w29, w95, w33, w100, w21, w14, w39, w19, w94, w56, w52, w71, w59, w48, w5, w28, w11, w99, w72, w26, w62, w2, w8, w77, w70, w80, w31, w10, w86, w58, w57, w83, w69, w42, w49, w45, w47, w55, w92, w46, w4, w61, w44, w67, w82, w1
m61: w50, w1, w95, w92, w78, w28, w73, w49, w72, w8, w18, w48, w77, w26, w16, w36, w33, w55, w81, w84, w31, w10, w34, w71, w97, w87, w58, w96, w52, w60, w67, w82, w41, w85, w20, w23, w90, w83, w40, w99, w29, w79, w76, w43, w27, w21, w5, w13, w32, w54, w35, w46, w37, w6, w53, w2, w7, w93, w88, w94, w9, w24, w61, w59, w66, w15, w44, w64, w89, w3, w39, w4, w80, w45, w86, w74, w42, w22, w19, w12, w68, w91, w62, w17, w70, w38, w69, w100, w25, w63, w56, w98, w65, w14, w57, w30, w47, w75, w51, w11
m62: w38, w100, w46, w35, w41, w27, w93, w9, w83, w34, w19, w1, w15, w18, w6, w49, w31, w48, w86, w52, w28, w8, w67, w5, w14, w4, w80, w95, w66, w30, w75, w57, w23, w54, w79, w59, w87, w37, w85, w29, w97, w60, w3, w98, w73, w43, w50, w45, w24, w58, w21, w17, w13, w78, w51, w69, w62, w84, w72, w91, w55, w65, w40, w76, w63, w99, w20, w26, w33, w96, w90, w53, w74, w56, w70, w82, w16, w77, w25, w2, w10, w71, w61, w22, w39, w64, w94, w81, w36, w44, w89, w32, w92, w12, w11, w47, w42, w88, w7, w68
m63: w88, w79, w19, w92, w49, w71, w51, w13, w84, w1, w77, w24, w69, w18, w68, w34, w98, w14, w54, w53, w47, w62, w32, w56, w46, w74, w87, w3, w78, w28, w61, w72, w41, w76, w93, w86, w7, w38, w58, w40, w39, w8, w89, w17, w43, w82, w22, w12, w5, w48, w21, w31, w29, w35, w44, w4, w16, w66, w10, w9, w42, w59, w95, w91, w2, w64, w57, w26, w15, w83, w80, w75, w52, w11, w81, w94, w99, w63, w96, w36, w25, w90, w20, w33, w27, w50, w97, w67, w85, w37, w6, w60, w70, w23, w65, w30, w55, w100, w73, w45
m64: w61, w42, w43, w30, w47, w84, w26, w91, w79, w69, w6, w78, w32, w29, w80, w74, w9, w35, w11, w70, w49, w38, w89, w87, w73, w27, w21, w36, w13, w14, w71, w64, w33, w58, w44, w18, w95, w1, w8, w76, w10, w59, w20, w22, w65, w37, w19, w12, w86, w57, w53, w93, w62, w67, w51, w5, w66, w31, w34, w2, w45, w77, w24, w72, w90, w48, w82, w75, w15, w68, w54, w94, w41, w63, w52, w56, w28, w50, w83, w98, w60, w4, w85, w46, w92, w96, w3, w16, w39, w23, w55, w99, w40, w88, w25, w81, w100, w17, w7, w97
m65: w68, w65, w25, w93, w70, w26, w46, w74, w89, w34, w24, w86, w20, w52, w1, w77, w61, w15, w95, w14, w85, w79, w8, w75, w40, w80, w39, w59, w36, w17, w98, w45, w72, w42, w90, w31, w22, w37, w2, w71, w3, w28, w60, w56, w83, w49, w33, w97, w96, w16, w19, w62, w51, w84, w35, w92, w47, w41, w54, w21, w12, w63, w64, w87, w4, w5, w7, w18, w99, w91, w81, w66, w38, w94, w82, w76, w67, w53, w50, w78, w32, w10, w69, w44, w6, w23, w30, w55, w11, w58, w43, w13, w48, w29, w73, w9, w88, w27, w57, w100
m66: w31, w19, w34, w63, w41, w85, w33, w16, w93, w76, w67, w96, w62, w25, w23, w65, w68, w77, w86, w69, w56, w42, w88, w14, w66, w91, w38, w49, w44, w37, w17, w11, w100, w73, w81, w70, w10, w99, w3, w4, w28, w74, w7, w83, w72, w61, w79, w84, w35, w18, w46, w59, w97, w52, w9, w45, w8, w47, w21, w36, w78, w95, w54, w13, w15, w89, w94, w90, w2, w87, w60, w64, w55, w92, w26, w6, w53, w80, w71, w39, w22, w51, w30, w50, w98, w75, w32, w29, w5, w43, w1, w12, w20, w82, w24, w57, w48, w27, w58, w40
m67: w35, w19, w26, w76, w15, w78, w49, w14, w47, w58, w37, w34, w64, w40, w16, w100, w4, w61, w46, w6, w45, w54, w21, w63, w65, w66, w68, w52, w85, w33, w70, w77, w32, w44, w74, w79, w5, w8, w97, w57, w39, w9, w75, w59, w20, w36, w48, w81, w73, w87, w2, w72, w42, w94, w18, w10, w30, w23, w95, w83, w69, w56, w41, w98, w25, w91, w71, w38, w1, w29, w86, w43, w82, w99, w17, w60, w50, w67, w80, w12, w92, w53, w96, w62, w93, w7, w89, w24, w84, w31, w55, w11, w88, w27, w13, w28, w22, w3, w90, w51
m68: w61, w32, w92, w98, w8, w93, w25, w80, w6, w66, w88, w15, w14, w56, w68, w36, w73, w76, w75, w46, w18, w33, w63, w81, w82, w44, w37, w41, w53, w47, w3, w99, w22, w12, w59, w28, w67, w70, w39, w64, w84, w74, w71, w38, w94, w72, w62, w1, w24, w96, w26, w43, w19, w23, w65, w42, w95, w86, w34, w31, w60, w4, w100, w50, w69, w97, w90, w17, w48, w7, w54, w35, w21, w5, w77, w79, w20, w52, w45, w13, w11, w87, w49, w91, w16, w83, w55, w2, w57, w27, w85, w30, w89, w40, w29, w58, w51, w78, w9, w10
m69: w97, w89, w51, w25, w26, w58, w29, w19, w34, w61, w20, w32, w81, w69, w78, w82, w90, w84, w12, w17, w76, w71, w65, w57, w37, w24, w40, w18, w91, w1, w44, w16, w55, w68, w98, w15, w7, w62, w88, w2, w50, w42, w100, w53, w48, w30, w6, w28, w8, w87, w72, w60, w93, w99, w94, w85, w36, w46, w75, w43, w22, w35, w23, w74, w11, w92, w38, w59, w67, w54, w52, w79, w14, w39, w73, w56, w70, w45, w86, w77, w47, w13, w31, w95, w49, w9, w21, w5, w27, w66, w80, w96, w4, w83, w63, w10, w3, w33, w41, w64
m70: w36, w19, w46, w48, w72, w8, w9, w27, w44, w43, w88, w97, w24, w76, w12, w63, w85, w31, w29, w70, w57, w65, w20, w73, w82, w30, w64, w54, w56, w16, w78, w61, w10, w21, w38, w59, w26, w99, w66, w51, w75, w52, w40, w93, w94, w98, w89, w41, w37, w47, w100, w77, w11, w45, w18, w15, w80, w68, w7, w96, w49, w81, w83, w39, w62, w50, w95, w28, w4, w23, w55, w5, w17, w1, w25, w22, w92, w86, w53, w90, w14, w69, w33, w2, w42, w91, w35, w87, w60, w74, w71, w58, w13, w3, w84, w67, w34, w6, w79, w32
m71: w63, w28, w27, w2, w84, w42, w88, w73, w41, w1, w19, w87, w48, w64, w92, w21, w61, w100, w6, w23, w82, w90, w39, w50, w76, w8, w26, w85, w24, w44, w49, w70, w91, w53, w16, w45, w15, w69, w12, w80, w38, w60, w13, w33, w17, w59, w22, w25, w81, w14, w78, w56, w7, w74, w31, w93, w30, w11, w40, w83, w98, w68, w67, w47, w34, w62, w29, w99, w66, w95, w55, w57, w5, w89, w52, w32, w65, w37, w46, w20, w71, w3, w79, w18, w97, w96, w9, w58, w77, w4, w51, w36, w72, w86, w35, w10, w75, w94, w43, w54
m72: w73, w47, w37, w36, w46, w81, w31, w26, w14, w75, w13, w90, w6, w74, w77, w76, w48, w3, w66, w30, w17, w50, w62, w33, w61, w89, w44, w65, w4, w72, w5, w56, w98, w71, w34, w93, w82, w15, w55, w10, w32, w100, w69, w43, w21, w24, w23, w42, w83, w95, w22, w29, w84, w2, w7, w51, w92, w57, w49, w20, w68, w67, w99, w60, w86, w19, w52, w70, w85, w63, w18, w94, w59, w28, w16, w27, w35, w54, w40, w12, w64, w97, w87, w58, w80, w88, w11, w39, w96, w91, w79, w1, w78, w38, w8, w25, w9, w41, w53, w45
m73: w59, w52, w91, w100, w66, w76, w73, w25, w84, w51, w97, w98, w63, w49, w39, w28, w3, w48, w32, w9, w86, w50, w55, w13, w12, w83, w77, w19, w54, w5, w60, w38, w43, w30, w29, w45, w72, w82, w10, w81, w79, w47, w15, w36, w69, w37, w17, w1, w34, w16, w56, w85, w78, w23, w71, w88, w41, w68, w94, w7, w96, w42, w11, w21, w80, w87, w4, w44, w95, w26, w67, w93, w33, w53, w70, w89, w57, w27, w92, w61, w74, w20, w31, w62, w75, w90, w99, w65, w2, w58, w40, w35, w22, w14, w24, w18, w64, w6, w46, w8
m74: w61, w1, w12, w27, w76, w18, w100, w64, w39, w4, w96, w73, w75, w43, w98, w80, w8, w52, w16, w44, w31, w88, w7, w32, w54, w91, w14, w23, w53, w70, w30, w48, w63, w50, w15, w94, w41, w79, w37, w68, w85, w84, w93, w28, w74, w20, w87, w55, w99, w97, w56, w72, w62, w22, w49, w82, w57, w33, w67, w90, w83, w46, w6, w24, w81, w5, w45, w29, w47, w9, w78, w58, w51, w25, w69, w86, w2, w34, w59, w40, w95, w35, w77, w26, w71, w66, w38, w21, w60, w65, w19, w10, w11, w17, w3, w89, w36, w13, w42, w92
m75: w66, w81, w100, w49, w71, w96, w90, w72, w91, w58, w9, w3, w77, w2, w38, w20, w14, w62, w48, w1, w7, w55, w51, w28, w32, w78, w54, w67, w45, w57, w82, w88, w10, w41, w69, w92, w35, w56, w33, w12, w4, w75, w97, w84, w22, w23, w21, w11, w17, w99, w13, w94, w89, w59, w30, w86, w36, w73, w46, w60, w18, w74, w47, w68, w19, w6, w5, w34, w85, w83, w40, w26, w65, w16, w24, w50, w63, w98, w70, w93, w8, w52, w87, w43, w31, w25, w29, w27, w53, w95, w76, w37, w64, w15, w61, w42, w79, w44, w80, w39
m76: w71, w9, w36, w5, w8, w72, w93, w26, w22, w52, w79, w14, w76, w17, w7, w1, w70, w80, w85, w39, w51, w34, w63, w50, w31, w92, w94, w33, w90, w23, w42, w11, w21, w74, w88, w32, w84, w89, w2, w54, w77, w91, w67, w30, w86, w41, w4, w13, w49, w40, w57, w59, w55, w78, w3, w99, w66, w69, w58, w44, w73, w46, w62, w18, w61, w48, w95, w28, w98, w43, w12, w19, w53, w38, w10, w64, w6, w15, w20, w82, w25, w16, w65, w83, w100, w45, w81, w29, w35, w87, w47, w27, w60, w75, w68, w24, w97, w56, w96, w37
m77: w62, w99, w80, w3, w66, w4, w78, w35, w63, w87, w76, w60, w45, w50, w18, w48, w51, w98, w33, w44, w14, w39, w12, w5, w55, w92, w16, w65, w9, w59, w36, w13, w83, w19, w68, w26, w7, w25, w10, w47, w81, w95, w64, w56, w72, w40, w61, w46, w38, w20, w73, w88, w96, w70, w85, w34, w69, w57, w28, w93, w100, w27, w89, w71, w15, w53, w6, w41, w74, w90, w82, w17, w52, w24, w32, w67, w49, w54, w30, w91, w8, w75, w29, w58, w43, w31, w37, w22, w94, w1, w21, w2, w42, w11, w86, w84, w97, w23, w79, w77
m78: w39, w90, w35, w48, w93, w29, w58, w11, w17, w95, w99, w49, w33, w79, w53, w55, w36, w78, w81, w30, w70, w1, w56, w67, w38, w28, w73, w52, w75, w23, w62, w2, w18, w7, w85, w47, w63, w60, w19, w26, w42, w97, w22, w27, w74, w84, w71, w82, w46, w4, w65, w64, w98, w13, w12, w91, w66, w41, w54, w92, w25, w40, w34, w89, w14, w88, w77, w69, w72, w96, w94, w24, w68, w21, w9, w87, w51, w57, w6, w15, w20, w8, w59, w43, w76, w44, w16, w3, w5, w37, w31, w100, w45, w32, w61, w86, w10, w80, w83, w50
m79: w40, w15, w83, w1, w32, w27, w66, w77, w29, w8, w20, w100, w69, w43, w39, w58, w78, w55, w93, w49, w12, w19, w67, w56, w81, w38, w64, w91, w62, w54, w48, w82, w9, w86, w5, w42, w94, w87, w2, w50, w61, w57, w24, w16, w26, w79, w92, w59, w76, w74, w45, w17, w98, w13, w99, w73, w85, w36, w3, w23, w28, w84, w18, w4, w95, w10, w46, w75, w25, w63, w52, w34, w21, w6, w90, w80, w14, w30, w35, w51, w31, w68, w71, w72, w65, w44, w70, w7, w89, w97, w96, w33, w88, w47, w11, w41, w60, w22, w53, w37
m80: w7, w96, w26, w81, w5, w22, w73, w48, w65, w31, w97, w46, w83, w87, w89, w69, w60, w14, w86, w10, w54, w20, w59, w11, w3, w38, w66, w77, w76, w28, w84, w78, w61, w35, w6, w98, w57, w95, w74, w9, w67, w15, w36, w27, w41, w52, w12, w51, w88, w99, w49, w37, w91, w70, w44, w58, w19, w75, w16, w55, w82, w29, w68, w100, w1, w21, w4, w8, w80, w39, w24, w2, w85, w18, w50, w33, w92, w90, w56, w32, w45, w71, w13, w43, w62, w25, w30, w93, w17, w72, w42, w53, w63, w47, w34, w40, w79, w23, w64, w94
m81: w4, w84, w61, w58, w81, w59, w28, w90, w22, w88, w44, w100, w19, w56, w63, w97, w1, w42, w45, w48, w99, w65, w91, w24, w43, w83, w32, w71, w53, w54, w62, w72, w15, w78, w29, w30, w68, w94, w27, w14, w60, w49, w89, w6, w47, w96, w5, w9, w12, w18, w3, w35, w75, w82, w73, w16, w11, w31, w57, w76, w34, w23, w46, w64, w67, w66, w36, w98, w93, w20, w86, w51, w85, w38, w70, w41, w13, w77, w79, w37, w7, w92, w74, w50, w21, w17, w55, w40, w10, w87, w52, w80, w95, w8, w39, w2, w25, w69, w26, w33
m82: w48, w16, w38, w10, w99, w60, w63, w56, w2, w81, w54, w17, w29, w32, w82, w18, w14, w34, w62, w35, w55, w47, w98, w91, w90, w42, w71, w59, w86, w13, w89, w21, w8, w23, w69, w30, w72, w97, w33, w4, w95, w83, w76, w27, w36, w39, w73, w66, w74, w92, w11, w40, w46, w64, w57, w41, w26, w51, w5, w24, w75, w49, w15, w65, w80, w12, w6, w19, w7, w20, w3, w94, w77, w52, w53, w45, w68, w31, w93, w25, w1, w58, w70, w88, w87, w22, w67, w61, w96, w84, w9, w78, w43, w79, w37, w28, w100, w85, w50, w44
m83: w58, w2, w66, w81, w97, w50, w23, w33, w56, w24, w80, w45, w68, w36, w51, w20, w94, w53, w54, w99, w5, w35, w17, w83, w31, w63, w52, w21, w41, w26, w64, w92, w89, w1, w93, w6, w60, w82, w55, w77, w8, w25, w19, w57, w39, w84, w32, w74, w12, w62, w65, w3, w22, w38, w59, w15, w75, w95, w30, w11, w91, w48, w96, w67, w70, w73, w40, w18, w34, w4, w46, w47, w86, w27, w13, w10, w49, w90, w71, w88, w78, w16, w7, w29, w79, w87, w42, w61, w100, w44, w72, w76, w14, w28, w37, w85, w43, w69, w9, w98
m84: w67, w72, w89, w62, w47, w3, w77, w90, w33, w10, w22, w64, w7, w57, w16, w32, w53, w24, w61, w13, w91, w38, w73, w70, w25, w17, w78, w55, w71, w26, w31, w21, w93, w42, w23, w15, w41, w59, w49, w96, w50, w82, w94, w87, w34, w83, w39, w19, w28, w6, w35, w40, w68, w85, w37, w30, w45, w58, w80, w29, w43, w95, w74, w27, w86, w51, w44, w11, w48, w92, w98, w76, w63, w9, w88, w46, w8, w81, w99, w66, w5, w97, w52, w1, w60, w100, w20, w84, w69, w65, w12, w14, w79, w54, w4, w56, w75, w18, w36, w2
m85: w13, w55, w15, w89, w5, w39, w9, w25, w30, w92, w38, w43, w50, w40, w26, w33, w99, w27, w83, w96, w45, w93, w49, w41, w53, w19, w75, w4, w54, w98, w71, w82, w52, w35, w37, w72, w47, w61, w1, w31, w34, w69, w88, w76, w14, w21, w7, w24, w29, w65, w16, w66, w12, w48, w22, w42, w23, w57, w95, w78, w87, w74, w28, w3, w97, w6, w44, w67, w84, w10, w90, w81, w77, w64, w58, w86, w17, w70, w2, w46, w20, w91, w18, w8, w80, w51, w73, w59, w60, w68, w85, w11, w32, w79, w56, w100, w62, w94, w63, w36
m86: w41, w48, w92, w49, w37, w75, w58, w38, w31, w53, w90, w12, w89, w40, w73, w7, w35, w29, w33, w28, w21, w97, w64, w80, w3, w79, w9, w82, w45, w62, w25, w84, w32, w68, w70, w63, w85, w17, w74, w94, w86, w16, w99, w50, w43, w42, w76, w11, w27, w2, w56, w30, w71, w95, w61, w20, w18, w14, w87, w98, w60, w83, w59, w52, w8, w44, w24, w36, w72, w77, w81, w10, w26, w69, w51, w55, w78, w91, w15, w47, w1, w57, w22, w67, w6, w88, w34, w46, w19, w5, w23, w93, w54, w65, w96, w100, w39, w66, w4, w13
m87: w16, w59, w57, w90, w88, w86, w55, w62, w24, w60, w4, w71, w81, w50, w34, w5, w13, w42, w26, w69, w68, w94, w28, w52, w100, w22, w38, w11, w36, w72, w29, w46, w99, w58, w85, w63, w32, w40, w3, w1, w20, w79, w21, w89, w10, w92, w41, w82, w51, w14, w47, w73, w39, w27, w77, w18, w33, w17, w37, w9, w78, w15, w54, w8, w56, w83, w35, w44, w12, w95, w25, w67, w87, w19, w53, w70, w93, w96, w23, w49, w80, w75, w66, w64, w97, w76, w61, w91, w98, w45, w2, w43, w7, w84, w74, w31, w30, w6, w48, w65
m88: w79, w33, w57, w87, w29, w18, w32, w31, w30, w47, w37, w99, w58, w94, w41, w69, w12, w67, w64, w20, w59, w93, w86, w11, w17, w74, w34, w14, w66, w43, w40, w50, w48, w88, w91, w51, w73, w36, w53, w46, w95, w81, w9, w28, w85, w96, w89, w5, w97, w92, w76, w83, w52, w24, w42, w55, w27, w56, w38, w68, w3, w71, w60, w54, w26, w4, w22, w77, w8, w63, w84, w10, w6, w19, w98, w21, w75, w15, w13, w2, w44, w1, w23, w70, w45, w16, w62, w49, w65, w82, w25, w72, w80, w78, w90, w100, w7, w39, w35, w61
